awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
New York Knicks,Atlanta Hawks,98,117,282,-333,15,12/26/2015
Boston Celtics,Detroit Pistons,99,93,-120,104,15,12/26/2015
Dallas Mavericks,Brooklyn Nets,119ÿ,118,-156,135,15,12/23/2015
Detroit Pistons,Miami Heat,93,92,127,-147,15,12/22/2015
Dallas Mavericks,Toronto Raptors,99,103,161,-185,15,12/22/2015
Minnesota Timberwolves,Boston Celtics,99,113,277,-333,16,12/21/2015
Orlando Magic,New York Knicks,107,99,129,-149,16,12/21/2015
Chicago Bulls,New York Knicks,91,107,114,-132,15,12/19/2015
Atlanta Hawks,Boston Celtics,109,101,144,-167,15,12/18/2015
Miami Heat,Brooklyn Nets,104,98,-200,173,15,12/16/2015
Boston Celtics,Detroit Pistons,116,119,120,-137,15,12/16/2015
Minnesota Timberwolves,New York Knicks,102,107,160,-185,15,12/16/2015
Cleveland Cavaliers,Boston Celtics,89,77,-116,100,15,12/15/2015
Orlando Magic,Brooklyn Nets,105,82,-164,143,15,12/14/2015
Los Angeles Clippers,Detroit Pistons,105ÿ,103,-127,110,15,12/14/2015
Indiana Pacers,Detroit Pistons,96,118,100,-115,15,12/12/2015
Golden State Warriors,Boston Celtics,124ÿ,119,-213,181,15,12/11/2015
Milwaukee Bucks,Toronto Raptors,83,90,280,-333,15,12/11/2015
Philadelphia 76ers,Brooklyn Nets,91,100,242,-294,15,12/10/2015
Memphis Grizzlies,Detroit Pistons,93,92,150,-172,15,12/9/2015
San Antonio Spurs,Toronto Raptors,94,97,-250,212,15,12/9/2015
Houston Rockets,Brooklyn Nets,105,110,-204,175,15,12/8/2015
Washington Wizards,Miami Heat,114,103,322,-400,15,12/7/2015
Dallas Mavericks,New York Knicks,104,97,-106,-109,15,12/7/2015
Los Angeles Lakers,Toronto Raptors,93,102,610,-833,15,12/7/2015
Milwaukee Bucks,Detroit Pistons,95,102,229,-270,16,12/4/2015
Denver Nuggets,Toronto Raptors,106,105,440,-556,16,12/3/2015
Phoenix Suns,Detroit Pistons,122ÿ,127,146,-169,16,12/2/2015
Philadelphia 76ers,New York Knicks,87,99,342,-417,16,12/2/2015
Phoenix Suns,Brooklyn Nets,91,94,-164,142,16,12/1/2015
Houston Rockets,Detroit Pistons,105,116,152,-179,16,11/30/2015
Boston Celtics,Miami Heat,105,95,154,-179,16,11/30/2015
Houston Rockets,New York Knicks,116ÿ,111,-152,134,16,11/29/2015
Brooklyn Nets,Cleveland Cavaliers,88,90,378,-476,16,11/28/2015
Washington Wizards,Boston Celtics,78,111,129,-149,16,11/27/2015
Miami Heat,New York Knicks,97,78,-128,110,16,11/27/2015
Miami Heat,Detroit Pistons,81,104,106,-122,16,11/25/2015
Philadelphia 76ers,Boston Celtics,80,84,630,-909,16,11/25/2015
Cleveland Cavaliers,Toronto Raptors,99,103,-154,133,16,11/25/2015
New York Knicks,Miami Heat,78,95,177,-208,16,11/23/2015
Atlanta Hawks,Cleveland Cavaliers,97,109,189,-227,16,11/21/2015
Washington Wizards,Detroit Pistons,97,95,-105,-110,16,11/21/2015
Brooklyn Nets,Boston Celtics,95,120,355,-435,16,11/20/2015
Sacramento Kings,Miami Heat,109,116,438,-556,16,11/19/2015
Dallas Mavericks,Boston Celtics,106,102,167,-196,16,11/18/2015
Atlanta Hawks,Brooklyn Nets,88,90,-189,162,16,11/17/2015
Cleveland Cavaliers,Detroit Pistons,99,104,-196,167,16,11/17/2015
Minnesota Timberwolves,Miami Heat,103,91,341,-417,16,11/17/2015
Charlotte Hornets,New York Knicks,94,102,-105,-110,16,11/17/2015
Atlanta Hawks,Boston Celtics,93,106,-119,102,16,11/13/2015
Cleveland Cavaliers,New York Knicks,90,84,-278,231,16,11/13/2015
New Orleans Pelicans,Toronto Raptors,81,100,443,-588,16,11/13/2015
Utah Jazz,Miami Heat,91,92,148,-172,16,11/12/2015
Indiana Pacers,Boston Celtics,102,91,140,-161,16,11/11/2015
Los Angeles Lakers,Miami Heat,88,101,577,-833,16,11/10/2015
New York Knicks,Toronto Raptors,111,109,282,-345,16,11/10/2015
Washington Wizards,Atlanta Hawks,99,114,172,-200,16,11/7/2015
Washington Wizards,Boston Celtics,98,118,102,-119,16,11/6/2015
Los Angeles Lakers,Brooklyn Nets,104,98,133,-156,16,11/6/2015
Philadelphia 76ers,Cleveland Cavaliers,102,108,1039,-1667,16,11/6/2015
Milwaukee Bucks,New York Knicks,99,92,106,-125,16,11/6/2015
Dallas Mavericks,Memphis Grizzlies,114ÿ,110,179,-213,16,2/6/2016
Chicago Bulls,Minnesota Timberwolves,105,112,134,-156,16,2/6/2016
Orlando Magic,Oklahoma City Thunder,114,117,635,-909,16,2/3/2016
Golden State Warriors,Washington Wizards,134,121,-588,442,16,2/3/2016
Miami Heat,Houston Rockets,102,115,160,-185,15,2/2/2016
Dallas Mavericks,Atlanta Hawks,97,112,210,-250,15,2/1/2016
Memphis Grizzlies,New Orleans Pelicans,110,95,123,-143,15,2/1/2016
Washington Wizards,Oklahoma City Thunder,98,114,434,-556,15,2/1/2016
Washington Wizards,Houston Rockets,123,122,162,-189,15,1/30/2016
Sacramento Kings,Memphis Grizzlies,117,121,149,-172,15,1/30/2016
Miami Heat,Milwaukee Bucks,107,103,-112,-103,15,1/29/2016
Houston Rockets,Oklahoma City Thunder,108,116,312,-385,15,1/29/2016
Milwaukee Bucks,Memphis Grizzlies,83,103,181,-213,15,1/28/2016
Sacramento Kings,New Orleans Pelicans,105,114,-227,191,15,1/28/2016
New York Knicks,Toronto Raptors,93,103,669,-1000,15,1/28/2016
Los Angeles Clippers,Atlanta Hawks,85,83,183,-217,15,1/27/2016
Oklahoma City Thunder,Minnesota Timberwolves,126,123,-278,235,15,1/27/2016
Houston Rockets,San Antonio Spurs,99,130,390,-500,15,1/27/2016
Orlando Magic,Milwaukee Bucks,100,107,170,-200,15,1/26/2016
Miami Heat,Chicago Bulls,89,84,250,-303,15,1/25/2016
Houston Rockets,New Orleans Pelicans,112,111,156,-182,15,1/25/2016
Orlando Magic,Memphis Grizzlies,102ÿ,108,184,-217,15,1/25/2016
Memphis Grizzlies,Minnesota Timberwolves,101,106,-156,135,15,1/23/2016
Milwaukee Bucks,Houston Rockets,98,102,123,-141,15,1/22/2016
Miami Heat,Toronto Raptors,81,101,499,-667,15,1/22/2016
Los Angeles Clippers,Cleveland Cavaliers,102,115,227,-278,15,1/21/2016
Detroit Pistons,New Orleans Pelicans,99,115,120,-139,15,1/21/2016
Golden State Warriors,Chicago Bulls,125,94,-256,217,15,1/20/2016
Detroit Pistons,Houston Rockets,123,114,134,-154,15,1/20/2016
Charlotte Hornets,Oklahoma City Thunder,95,109,405,-526,15,1/20/2016
Minnesota Timberwolves,New Orleans Pelicans,99,114,189,-222,15,1/19/2016
Golden State Warriors,Cleveland Cavaliers,132,98,137,-156,15,1/18/2016
Indiana Pacers,Denver Nuggets,126,129,-133,116,15,1/17/2016
New York Knicks,Memphis Grizzlies,95,103,194,-227,15,1/16/2016
Dallas Mavericks,Chicago Bulls,83,77,-102,-115,15,1/15/2016
Atlanta Hawks,Milwaukee Bucks,101ÿ,108,-189,162,15,1/15/2016
Charlotte Hornets,New Orleans Pelicans,107,109,137,-159,15,1/15/2016
Detroit Pistons,Memphis Grizzlies,101,103,-114,-102,15,1/14/2016
Cleveland Cavaliers,San Antonio Spurs,95,99,219,-263,15,1/14/2016
Indiana Pacers,Boston Celtics,94,103,141,-161,15,1/13/2016
Minnesota Timberwolves,Houston Rockets,104,107,288,-345,15,1/13/2016
Dallas Mavericks,Oklahoma City Thunder,89,108,785,-1111,15,1/13/2016
Houston Rockets,Memphis Grizzlies,107,91,-130,112,15,1/12/2016
Chicago Bulls,Milwaukee Bucks,101,106,-154,135,15,1/12/2016
Oklahoma City Thunder,Minnesota Timberwolves,101,96,-667,508,15,1/12/2016
Washington Wizards,Chicago Bulls,114,100,345,-417,15,1/11/2016
Charlotte Hornets,Denver Nuggets,92,95,-122,106,15,1/10/2016
Denver Nuggets,Memphis Grizzlies,84,91,199,-233,15,1/8/2016
Dallas Mavericks,Milwaukee Bucks,95,96,-110,-104,15,1/8/2016
Cleveland Cavaliers,Minnesota Timberwolves,125,99,-556,444,15,1/8/2016
Indiana Pacers,New Orleans Pelicans,91,86,-125,110,15,1/8/2016
Boston Celtics,Chicago Bulls,92,101,217,-256,15,1/7/2016
Utah Jazz,Houston Rockets,94,103,227,-270,15,1/7/2016
